,brand,ram,storage_ssd,color,price,rating,processor
0,HP,4 GB,512 GB SSD,Silver,41990.0,4.1,Intel Core i3-1315U
1,EBook,4 GB,512 GB SSD,Black,10990.0,5.0,Intel Celeron Dual
2,HP,4 GB,512 GB SSD,Silver,36990.0,4.0,AMD Ryzen 3 7320U
3,BrowseBook,4 GB,128 GB SSD,Grey,12990.0,3.0,Intel Celeron Dual
4,Lenovo,4 GB,512 GB SSD,Blue,15990.0,3.8,Intel Celeron N4500
5,Asus,8 GB,512 GB SSD,Black,34900.0,4.1,AMD Ryzen 3 7320U
6,HP,4 GB,1 TB SSD,Silver,69990.0,4.1,Intel Celeron Dual
7,HP,4 GB,512 GB SSD,Silver,40654.0,4.1,Intel Core i3-1315U
8,Dell,16 GB,1 TB SSD,Silver,58016.0,3.7,Intel Core i5
9,Acer,4 GB,512 GB SSD,Silver,31999.0,3.4,Intel Celeron Dual
10,Thomson,4 GB,128 GB SSD,Silver,12990.0,1.0,Intel Celeron Dual
11,Thomson,8 GB,256 GB SSD,Silver,14990.0,3.0,Intel Celeron Dual
12,Apple,4 GB,512 GB SSD,Silver,92199.0,4.7,Intel Celeron Dual
13,Asus,4 GB,512 GB SSD,Black,71990.0,4.2,AMD Ryzen 7 7445HS
14,HP,4 GB,512 GB SSD,Black,28690.0,3.4,Intel Celeron Dual
15,HP,4 GB,512 GB SSD,Silver,54990.0,3.9,Intel Core i5-1334U
